iteration,cost,selected operator,applied changes,improved cost
150,7.730982681568155,TWOOPT,True,False
151,7.981166917969066,TWOOPT,True,False
152,7.456814005660144,TWOOPT,True,True
153,7.1483118152879905,TWOOPT,True,True
154,7.064253153850929,TWOOPT,True,True
155,7.044111244916681,TWOOPT,True,True
156,8.310864574575023,TWOOPT,True,False
157,7.228397652804278,TWOOPT,True,True
158,7.1146693366515645,TWOOPT,True,True
159,7.105428370215589,TWOOPT,True,True
160,8.326244673982357,RELOCATE,True,False
161,7.692846937602903,TWOOPT,True,True
162,7.68444602870308,TWOOPT,True,True
163,7.8090628234564505,TWOOPT,True,False
164,7.75251843345103,TWOOPT,True,True
165,8.073333628883685,TWOOPT,True,False
166,7.563395387108169,RELOCATE,True,True
167,7.579729817458702,TWOOPT,True,False
168,7.531848354838703,TWOOPT,True,True
169,7.6076943479750385,RELOCATE,True,False
170,6.648525160960771,TWOOPT,True,True
171,7.313524065992469,TWOOPT,True,False
172,6.977944111482494,TWOOPT,True,True
173,7.360615014075642,TWOOPT,True,False
174,7.94623906686758,RELOCATE,True,False
175,7.946004381099996,TWOOPT,True,True
176,7.228597301553525,TWOOPT,True,True
177,6.923544856946009,TWOOPT,True,True
178,6.8693068271951265,TWOOPT,True,True
179,7.271294008777323,TWOOPT,True,False
180,6.968120590987684,TWOOPT,True,True
181,6.968056534057384,RELOCATE,True,True
182,7.38555960185257,TWOOPT,True,False
183,7.294289896356659,TWOOPT,True,True
184,7.149307092210503,TWOOPT,True,True
185,6.958201762162572,TWOOPT,True,True
186,7.982084836350982,TWOOPT,True,False
187,7.828947079005495,RELOCATE,True,True
188,7.664380578016297,TWOOPT,True,True
189,6.964820088627359,TWOOPT,True,True
190,7.741737084801473,TWOOPT,True,False
191,7.54904214593291,TWOOPT,True,True
192,7.957557522654643,TWOOPT,True,False
193,7.764066763786224,TWOOPT,True,True
194,8.197417331065,RELOCATE,True,False
195,7.6488025115574185,RELOCATE,True,True
196,6.715478732692741,TWOOPT,True,True
197,6.640626832314636,TWOOPT,True,True
198,6.82683746937448,TWOOPT,True,False
199,6.9255319011631995,RELOCATE,True,False
200,6.927688398910938,TWOOPT,True,False
201,6.97317466724482,TWOOPT,True,False
202,6.98205070828959,TWOOPT,True,False
203,6.9992731381548285,RELOCATE,True,False
204,7.4138103007210265,TWOOPT,True,False
205,7.419689504357754,TWOOPT,True,False
206,7.441944911363844,TWOOPT,True,False
207,7.344835310938129,TWOOPT,True,True
208,7.281379276873913,TWOOPT,True,True
209,7.312380047147176,TWOOPT,True,False
210,7.345898210232265,TWOOPT,True,False
211,8.23817954471318,TWOOPT,True,False
212,8.656649967157845,TWOOPT,True,False
213,9.184387552663114,RELOCATE,True,False
214,9.14087694559646,TWOOPT,True,True
215,9.056928598559926,TWOOPT,True,True
216,8.442955752657802,RELOCATE,True,True
217,8.768945527971898,TWOOPT,True,False
218,8.482881619931177,TWOOPT,True,True
219,8.155408872257851,TWOOPT,True,True
220,8.481645459637132,TWOOPT,True,False
221,7.663913893351969,TWOOPT,True,True
222,8.336595259148393,RELOCATE,True,False
223,7.532907573170224,TWOOPT,True,True
224,7.5640247571449,TWOOPT,True,False
225,8.535063255447183,RELOCATE,True,False
226,8.457156950343908,TWOOPT,True,True
227,8.189600409392092,RELOCATE,True,True
228,8.232600830554897,TWOOPT,True,False
229,7.491176402963429,TWOOPT,True,True
230,7.760779414012344,TWOOPT,True,False
231,7.681589766580274,TWOOPT,True,True
232,7.728216498197282,TWOOPT,True,False
233,8.043378414001852,TWOOPT,True,False
234,7.198927251420463,TWOOPT,True,True
235,6.991260156267973,TWOOPT,True,True
236,7.5542818249859405,TWOOPT,True,False
237,7.878285268888121,TWOOPT,True,False
238,6.996916857548865,TWOOPT,True,True
239,6.947159680568237,TWOOPT,True,True
240,6.879626312830103,TWOOPT,True,True
241,6.972094374664414,TWOOPT,True,False
