file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4260.759336875,"[955.4272531250001, 1048.757253125, 701.1048306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1904.7435956790123,0.01,10.0,0.45,51,44,12,11,0,0,20,20
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4399.1393368750005,"[1037.8766475000002, 1059.97785875, 764.1748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1925.1257716049383,0.01,10.0,0.45,60,51,9,8,1,1,33,29
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4493.339336875,"[837.6160418750001, 1152.288464375, 771.6548306250002]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2092.730169753086,0.01,10.0,0.44,64,52,11,9,2,2,16,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4280.509336875,"[884.0272531250001, 1067.967253125, 809.2248306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1939.6201388888887,0.01,10.0,0.45,72,61,6,6,2,2,23,19
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4286.009336875,"[787.9766475, 990.10785875, 790.1848306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1798.2739197530864,0.01,10.0,0.45,78,61,7,7,1,1,15,13
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4403.559336875001,"[1031.92785875, 992.1466475000001, 732.2148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1874.1998456790122,0.01,10.0,0.46,77,69,9,7,1,0,10,9
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4664.119336875,"[1141.7466475, 934.3472531250001, 915.6454362500001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2073.542283950617,0.01,10.0,0.44,57,41,13,11,1,1,11,11
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4311.669336875,"[905.7872531250001, 1117.267253125, 730.1748306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2029.126311728395,0.01,10.0,0.44,57,49,9,7,0,0,17,16
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4527.899336875,"[1075.787253125, 1026.487253125, 769.4448306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1953.8176697530864,0.01,10.0,0.45,74,64,10,10,0,0,24,20
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4700.949336875001,"[1156.3672531250002, 1232.527253125, 870.2548306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2238.385570987654,0.01,10.0,0.45,41,34,8,7,0,0,30,25
