file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2617.32270375,"[245.82787312500002, 928.8921125, 841.852718125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1686.739197530864,0.1,500.0,13.38,2904,1473,2072,988,1748,772,11525,5777
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2487.4727037499997,"[226.44545062500003, 1395.894225, 190.403028125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2534.898148148148,0.1,500.0,13.84,3009,1507,2014,984,2095,809,11751,5949
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2762.6127037500005,"[369.41726750000004, 251.433028125, 1716.5124081250003]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,3116.96149691358,0.1,500.0,13.49,3737,1748,1980,1018,1646,772,11293,5673
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2587.8427037500005,"[108.63302812500001, 724.045140625, 1117.424535]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2029.0870370370371,0.1,500.0,13.6,3041,1505,2026,1041,1521,716,11651,5821
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2706.8227037500005,"[43.692422500000006, 579.537873125, 1645.1124081250002]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2987.3318672839505,0.1,500.0,13.45,2909,1500,1932,948,1806,783,11268,5664
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2688.06270375,"[952.1827181250001, 96.393028125, 1078.1569575]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1957.8546296296297,0.1,500.0,15.43,2932,1511,2089,1018,1635,789,11346,5703
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2920.6027037500003,"[1799.6424081250002, 630.197873125, 101.1524225]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,3267.8874228395057,0.1,500.0,13.43,2965,1478,2042,1043,1608,764,11528,5785
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2556.05270375,"[66.6424225, 250.41545062500003, 1518.6348306250002]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2757.7661265432093,0.1,500.0,13.48,3069,1518,2013,975,1926,790,11586,5867
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2691.19270375,"[158.44302812499998, 1646.474225, 462.915450625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2989.836419753086,0.1,500.0,13.92,3256,1649,2035,969,1665,767,11296,5709
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2563.0227037500003,"[1231.8381687500002, 64.0924225, 519.1921125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2236.9072530864196,0.1,500.0,13.25,3075,1551,2083,1014,1707,769,11700,5890
